geo,year,unit,leg_stat,citizen,value
Bosnia and Herzegovina,2018,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2018,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2018,NR,PER_SUSP,FOR,20.0
Bosnia and Herzegovina,2018,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2018,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2018,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2019,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2019,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2019,NR,PER_SUSP,FOR,499.0
Bosnia and Herzegovina,2019,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2019,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2019,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2020,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2020,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2020,NR,PER_SUSP,FOR,391.0
Bosnia and Herzegovina,2020,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2020,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2020,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2021,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2021,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2021,NR,PER_SUSP,FOR,342.0
Bosnia and Herzegovina,2021,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2021,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2021,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2022,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2022,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2022,NR,PER_SUSP,FOR,277.0
Bosnia and Herzegovina,2022,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2022,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2022,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2023,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2023,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2023,NR,PER_SUSP,FOR,288.0
Bosnia and Herzegovina,2023,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2023,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2023,P_HTHAB,PER_SUSP,FOR,
Bulgaria,2008,NR,PER_CNV,FOR,903.0
